,sample_size,power,avg_eta_sqr
1466,98,0.36666666666666664,0.7070109448028176
1467,98,0.4666666666666667,0.7496825399534169
1468,98,0.3,0.7883858184390063
1469,98,0.43333333333333335,0.8370076648253447
1470,98,0.4666666666666667,0.8838635476882872
1471,98,0.26666666666666666,0.9212427993611992
1472,98,0.3333333333333333,0.9586994445095797
1473,98,0.36666666666666664,1.002354075926013
1474,98,0.4666666666666667,1.0505775603184615
1475,98,0.6,1.1034455704364092
1476,98,0.5333333333333333,1.1498284708103264
1477,98,0.4666666666666667,1.2046274493224585
1478,98,0.6,1.2636536498117033
1479,98,0.4,1.304130341365093
1480,98,0.3,1.3380567958286518
1481,98,0.36666666666666664,1.375495303099318
1482,98,0.36666666666666664,1.4102890517265274
1483,98,0.3,1.4505663556419528
1484,98,0.43333333333333335,1.4977470585792991
1485,98,0.36666666666666664,1.5354667321879796
1486,98,0.26666666666666666,1.56835569385395
1487,98,0.36666666666666664,1.6161426446064293
1488,98,0.4666666666666667,1.6685223276014594
1489,98,0.4666666666666667,1.7143770711198494
1490,98,0.3333333333333333,1.7511376472839189
1491,98,0.4666666666666667,1.806800574984757
1492,98,0.36666666666666664,1.8538885372501042
1493,98,0.3333333333333333,1.8955865843130266
1494,98,0.5666666666666667,1.9445637830245792
1495,98,0.4,1.9918934061762092
1496,98,0.4666666666666667,2.0379634907256183
1497,98,0.43333333333333335,2.0907876626188444
1498,98,0.5,2.1415961380353568
1499,98,0.5333333333333333,2.189521808923118
1500,101,0.5,0.03876083764052282
1501,101,0.36666666666666664,0.07671838372406317
1502,101,0.6333333333333333,0.13726963779785364
1503,101,0.6,0.188917120831642
1504,101,0.4,0.22752704639419752
1505,101,0.5333333333333333,0.2803770293784536
1506,101,0.3333333333333333,0.321271637381423
1507,101,0.5666666666666667,0.3654972405345216
1508,101,0.36666666666666664,0.40745542844710453
1509,101,0.5,0.4542736937944133
1510,101,0.36666666666666664,0.4940552303551399
1511,101,0.36666666666666664,0.5335842881830016
1512,101,0.5333333333333333,0.5877301038558038
1513,101,0.4,0.6345559348561477
1514,101,0.4666666666666667,0.6830361169295057
1515,101,0.36666666666666664,0.7197519769694234
1516,101,0.26666666666666666,0.7542842465773592
1517,101,0.4,0.7956130885546583
1518,101,0.5,0.8444241039736015
1519,101,0.4,0.878315776871336
1520,101,0.4666666666666667,0.9297398861318776
1521,101,0.3,0.9620293719313305
1522,101,0.5,1.0117105984861765
1523,101,0.5666666666666667,1.056080929346979
1524,101,0.4,1.0953013488531937
1525,101,0.3333333333333333,1.1302100279280212
1526,101,0.2,1.162806328020213
1527,101,0.4666666666666667,1.2086783486194876
1528,101,0.4666666666666667,1.2442841597618712
1529,101,0.6,1.2938832845287958
1530,101,0.2,1.3231973974100752
1531,101,0.26666666666666666,1.3557900467490345
1532,101,0.4,1.3968141151507323
1533,101,0.26666666666666666,1.4309446751837247
1534,101,0.43333333333333335,1.478877712202135
1535,101,0.4,1.5152379240378189
1536,101,0.36666666666666664,1.5553889376185075
1537,101,0.43333333333333335,1.600363315649491
1538,101,0.4666666666666667,1.6456022534637673
1539,101,0.36666666666666664,1.6847704554023477
1540,101,0.43333333333333335,1.727943057390759
1541,101,0.3333333333333333,1.7616734814741164
1542,101,0.3333333333333333,1.7983725509773647
1543,101,0.4,1.8365467073843826
1544,101,0.5333333333333333,1.8889915889451578
1545,101,0.4,1.9273778469868394
1546,101,0.36666666666666664,1.9730604616649574
1547,101,0.43333333333333335,2.013443721986564
1548,101,0.43333333333333335,2.0528085123004303
1549,101,0.4,2.092353160369417
1550,104,0.3333333333333333,0.032185370254854476
1551,104,0.5333333333333333,0.08099641254957561
1552,104,0.4666666666666667,0.12698106445583507
1553,104,0.4666666666666667,0.16908599774354227
1554,104,0.5666666666666667,0.22642249868760805
1555,104,0.4666666666666667,0.26870705028077196
1556,104,0.43333333333333335,0.31623209002223523
1557,104,0.43333333333333335,0.3642286210460094
1558,104,0.6,0.418967425713114
1559,104,0.43333333333333335,0.4551318688686143
1560,104,0.4666666666666667,0.49774358409999575
1561,104,0.43333333333333335,0.5388925972225084
1562,104,0.4666666666666667,0.5831590306155049
1563,104,0.5,0.6362243444711599
1564,104,0.43333333333333335,0.6727786592647085
1565,104,0.6,0.7227311068799784
1566,104,0.5,0.7697819659967855
1567,104,0.43333333333333335,0.8128469534582295
1568,104,0.3333333333333333,0.852396690994593
1569,104,0.3333333333333333,0.8865104712616403
1570,104,0.5666666666666667,0.9339126006580347
1571,104,0.4,0.9696037507109131
1572,104,0.4,1.006297859007521
1573,104,0.5,1.0479802667743334
1574,104,0.5333333333333333,1.0967710665967765
1575,104,0.4,1.1315299790276818
1576,104,0.43333333333333335,1.1785252744891472
1577,104,0.3333333333333333,1.2151561974378644
1578,104,0.5,1.2600791642656115
1579,104,0.36666666666666664,1.295224222283833
1580,104,0.5333333333333333,1.3410695377454487
1581,104,0.26666666666666666,1.3709758428490806
1582,104,0.26666666666666666,1.4042604173075608
1583,104,0.4,1.445200125278141
1584,104,0.4,1.4821246265629675
1585,104,0.43333333333333335,1.5334190401150596
1586,104,0.43333333333333335,1.575708425015668
1587,104,0.4666666666666667,1.6138777888521576
1588,104,0.3333333333333333,1.6492120467168079
1589,104,0.4,1.6866570315698775
1590,104,0.4666666666666667,1.7272639491576165
1591,104,0.4,1.764078964560458
1592,104,0.3,1.796559019019501
1593,104,0.3333333333333333,1.8292419827636304
1594,104,0.43333333333333335,1.8730604166194804
1595,104,0.43333333333333335,1.9136094111019402
1596,104,0.5333333333333333,1.9639354137102734
1597,104,0.5,2.0113215285414436
1598,104,0.5,2.0533644035062766
1599,104,0.3333333333333333,2.0890720366866673
1600,107,0.3,0.03044728215168496
1601,107,0.6,0.08882269902605135
1602,107,0.4666666666666667,0.1316574031445527
1603,107,0.3333333333333333,0.16110547594386748
1604,107,0.43333333333333335,0.20305714949448112
1605,107,0.4,0.24266102553515273
1606,107,0.26666666666666666,0.2759697932342584
1607,107,0.6,0.3252916650061296
1608,107,0.4666666666666667,0.3710670092018191
1609,107,0.4,0.41125995903963
1610,107,0.6,0.45990693440356384
1611,107,0.4666666666666667,0.5069864935203039
1612,107,0.43333333333333335,0.5493142390552096
1613,107,0.5,0.5968764430640661
1614,107,0.4666666666666667,0.6356808123629237
1615,107,0.43333333333333335,0.6756845074441447
