id,created_at,author_id,text,clean_text,code
1266808620328595459,2020-05-30 19:08:05+00:00,1098305897749565440,@NBCNews @SethAbramson You think they were a part of the mob that showed up with their guns 😢 I guess they showed us what America looks like to them But not to us We the People 🌈☀️💘,You think they were a part of the mob that showed up with their guns 😢 I guess they showed us what America looks like to them But not to us We the People 🌈☀️💘,-1
1266808698229231616,2020-05-30 19:08:24+00:00,826574631981051906,@NBCNews somali gangs and cartels,somali gangs and cartels,-1
1266808910897221632,2020-05-30 19:09:15+00:00,41724896,@NBCNews Contact trace the police. How many of them have KKK connections? Police officers frequently engage in crime on the side. Many people are saying it.,Contact trace the police. How many of them have KKK connections? Police officers frequently engage in crime on the side. Many people are saying it.,-1
1266809079025950720,2020-05-30 19:09:55+00:00,824935126127767552,@NBCNews Compliments of this evil human https://t.co/VROYReDhwR,Compliments of this evil human https://t.co/VROYReDhwR,-1
1266809137054310400,2020-05-30 19:10:09+00:00,789848039095697412,"@NBCNews Yeah, a bunch of heedless white twentysomethings who ignore the pleas of an African American woman with a bullhorn to stop the vandalism really have the interests of grieving, outraged African American citizens of the Twin Cities and elsewhere at heart.","Yeah, a bunch of heedless white twentysomethings who ignore the pleas of an African American woman with a bullhorn to stop the vandalism really have the interests of grieving, outraged African American citizens of the Twin Cities and elsewhere at heart.",-1
1266809421130272769,2020-05-30 19:11:16+00:00,319741052,@NBCNews Why are you putting out videos that are not captioned?,Why are you putting out videos that are not captioned?,-1
1266809969703256064,2020-05-30 19:13:27+00:00,1251580006175776769,@NBCNews America should not fall for this.  Band together white and black. White people are appalled by the officers action and think they should all be put away in jail for a long long long time !!,America should not fall for this.  Band together white and black. White people are appalled by the officers action and think they should all be put away in jail for a long long long time !!,-1
1266809990913961985,2020-05-30 19:13:32+00:00,789848039095697412,"@NBCNews To anyone who might want to compare these arrestees to 1960s Civil Rights demonstrators alleged to be ""outside agitators"" by southers mayors/governors:
1) False then, appears true now. 
2) Noble cause then, depraved cause now. 
3) Little vandalism then, judge for yourself now.","To anyone who might want to compare these arrestees to 1960s Civil Rights demonstrators alleged to be ""outside agitators"" by southers mayors/governors:
1) False then, appears true now. 
2) Noble cause then, depraved cause now. 
3) Little vandalism then, judge for yourself now.",-1
1266810083771469824,2020-05-30 19:13:54+00:00,954601521886347264,"@NBCNews Russian and Chinese officials are loving the riot destruction.
They can go to their people and say ""do you really want democracy when towns will be burned and destroyed"".
They say these are Russian hackers encouraging rioters on the dark web.","Russian and Chinese officials are loving the riot destruction.
They can go to their people and say ""do you really want democracy when towns will be burned and destroyed"".
They say these are Russian hackers encouraging rioters on the dark web.",-1
1266810231712968705,2020-05-30 19:14:30+00:00,1146566858,@NBCNews this is lies,this is lies,-1
